"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"391","Compilation of Presidential Documents","DCPD-201500306","","The President's News Conference With Prime Minister Shinzo Abe of Japan","https://www.govinfo.gov/app/details/DCPD-201500306","https://www.govinfo.gov/content/pkg/DCPD-201500306/pdf/DCPD-201500306.pdf","97.9 KB","https://www.govinfo.gov/content/pkg/DCPD-201500306/html/DCPD-201500306.htm","49.7 KB","","0 B","","0 B","","0 B",", everybody. Please have a seat. Good afternoon. Konnichiwa. Once again, it is an honor to welcome my partner and friend, Prime Minister Abe, back to the White House. I'm told there's a phrase in Japanese culture that speaks to the spirit that brings us together today. It's an idea rooted in loyalty. It's an expression of mutuality, respect, ...","","2015-04-28"
"392","Congressional Bills","BILLS-113hr4435rh","","Howard P. ‘Buck’ McKeon National Defense Authorization Act for Fiscal Year 2015","https://www.govinfo.gov/app/details/BILLS-113hr4435rh","https://www.govinfo.gov/content/pkg/BILLS-113hr4435rh/pdf/BILLS-113hr4435rh.pdf","1.4 MB","https://www.govinfo.gov/content/pkg/BILLS-113hr4435rh/html/BILLS-113hr4435rh.htm","1.3 MB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-113hr4435rh/xml/BILLS-113hr4435rh.xml","2.9 MB","","0 B"," of the Department of Defense and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes. IN THE HOUSE OF REPRESENTATIVES April 9, 2014 Mr. McKeon (for himself and Mr. Smith of Washington) (both by request) introduced the following bill; which was referred to the Committee on Armed ...","","2014-05-13"
"393","Bulk Submission","GOVPUB-D301-PURL-LPS30360","","Challenge and Response: Anticipating US Military Security Concerns","https://www.govinfo.gov/app/details/GOVPUB-D301-PURL-LPS30360","https://www.govinfo.gov/content/pkg/GOVPUB-D301-PURL-LPS30360/pdf/GOVPUB-D301-PURL-LPS30360.pdf","2.5 MB","","0 B","","0 B","","0 B","","0 B","; associate editors, Maris McCrabb, Albert Mitchum, Lewis B. Ware. 443p. Includes bibliographical references. 1. Military planning-United States. 2. National Security- United States. 3. World politics-1989- I. Magyar. K. P. (Karl P.) U153.C49 1994 355'.033073-dc20 94-18448 CIP ISBN: 1-58566-053-1 First Printing August 1994 Second Printing April ...","","1994-01-01"
"394","Bulk Submission","GOVPUB-D101-PURL-LPS12794","","China and the Revolution in Military Affairs","https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-LPS12794","https://www.govinfo.gov/content/pkg/GOVPUB-D101-PURL-LPS12794/pdf/GOVPUB-D101-PURL-LPS12794.pdf","1.0 MB","","0 B","","0 B","","0 B","","0 B"," and do not necessarily reflect the official policy or position of the Department of the Army, the Department of Defense, or the U.S. Government. This report is cleared for public release; distribution is unlimited. ******* Comments pertaining to these monographs are invited and should be forwarded to: Director, Strategic Studies Institute, ...","","1996-01-01"
"395","Congressional Record","CREC-2001-10-18","CREC-2001-10-18-pt1-PgS10807-3","MILITARY CONSTRUCTION APPROPRIATIONS ACT, 2002--CONFERENCE REPORT","https://www.govinfo.gov/app/details/CREC-2001-10-18/CREC-2001-10-18-pt1-PgS10807-3","https://www.govinfo.gov/content/pkg/CREC-2001-10-18/pdf/CREC-2001-10-18-pt1-PgS10807-3.pdf","222.5 KB","https://www.govinfo.gov/content/pkg/CREC-2001-10-18/html/CREC-2001-10-18-pt1-PgS10807-3.htm","23.8 KB","","0 B","","0 B","","0 B"," to consideration of the conference report to accompany H.R. 2904, which the clerk will report. The assistant legislative clerk read as follows: The committee of conference on the disagreeing votes of the two Houses on the amendment of the Senate to the bill (H.R. 2904) ``making appropriations for military construction, family housing, and base...","","2001-10-18"
"396","Compilation of Presidential Documents","DCPD-201500305","","Remarks at a Welcoming Ceremony for Prime Minister Shinzo Abe of Japan","https://www.govinfo.gov/app/details/DCPD-201500305","https://www.govinfo.gov/content/pkg/DCPD-201500305/pdf/DCPD-201500305.pdf","37.2 KB","https://www.govinfo.gov/content/pkg/DCPD-201500305/html/DCPD-201500305.htm","6.6 KB","","0 B","","0 B","","0 B",". Audience members . Good morning. President Obama . Ohayo gozaimasu. Prime Minister Abe . Ohayo gozaimasu. President Obama . On behalf of the American people and Michelle and myself, it is a great honor for me to welcome Prime Minister Abe and Mrs. Abe of Japan, one of America's closest allies in the world. Across Japan over the coming days, our ...","","2015-04-28"
"397","Bulk Submission","GOVPUB-Y10-PURL-LPS77544","","Alternatives for Military Space Radar","https://www.govinfo.gov/app/details/GOVPUB-Y10-PURL-LPS77544","https://www.govinfo.gov/content/pkg/GOVPUB-Y10-PURL-LPS77544/pdf/GOVPUB-Y10-PURL-LPS77544.pdf","5.6 MB","","0 B","","0 B","","0 B","","0 B"," Satellite Velocity Cross-Track, Range, or Elevation Direction Grazing Angle Nadir Range-Swath Width - X (roll) Axis Z (yaw) Axis Y (pitch) Axis Yaw Angle Azimuth Angle Elevation Angle Satellite Ground Track Satellite and Radar Geometries Pub. No. 1609 CBO Alternatives for Military Space Radar January 2007 A S T U D Y The Congress of th e ...","","2007-01-01"
"398","Compilation of Presidential Documents","DCPD-202200446","","Joint Statement by President Biden, Prime Minister Anthony Albanese of Australia, Prime Minister Narendra Modi of India, and Prime Minister Fumio Kishida of Japan on the Quadrilateral Security Dialogue Leaders Summit in Tokyo, Japan","https://www.govinfo.gov/app/details/DCPD-202200446","https://www.govinfo.gov/content/pkg/DCPD-202200446/pdf/DCPD-202200446.pdf","257.4 KB","https://www.govinfo.gov/content/pkg/DCPD-202200446/html/DCPD-202200446.htm","28.5 KB","","0 B","","0 B","","0 B"," Modi of India, and Prime Minister Fumio Kishida of Japan on the Quadrilateral Security Dialogue Leaders Summit in Tokyo, Japan May 24, 2022 Today, we—Prime Minister Anthony Albanese of Australia, Prime Minister Narendra Modi of India, Prime Minister Fumio Kishida of Japan, and President Joe Biden of the United States— convene in Tokyo to renew ...","","2022-05-24"
"399","Public Papers of the Presidents of the United States","PPP-1995-book2","PPP-1995-book2-doc-pg1762-2","Interview With NHK Television of Japan","https://www.govinfo.gov/app/details/PPP-1995-book2/PPP-1995-book2-doc-pg1762-2","https://www.govinfo.gov/content/pkg/PPP-1995-book2/pdf/PPP-1995-book2-doc-pg1762-2.pdf","207.3 KB","https://www.govinfo.gov/content/pkg/PPP-1995-book2/html/PPP-1995-book2-doc-pg1762-2.htm","38.3 KB","","0 B","","0 B","","0 B"," people are greatly disappointed that you have suddenly canceled your visit to Japan. Was it really inevitable? The President. Yes, it was inevitable. And let me begin by saying that I am greatly disappointed, more disappointed perhaps than I can even convey to you and through you to the Japanese people, to cancel this trip. My first overseas trip...","","1995-11-17"
"400","Congressional Record","CREC-2011-06-15","CREC-2011-06-15-pt1-PgE1105-3","""CAN WE AFFORD THE MILITARY BUDGET?""","https://www.govinfo.gov/app/details/CREC-2011-06-15/CREC-2011-06-15-pt1-PgE1105-3","https://www.govinfo.gov/content/pkg/CREC-2011-06-15/pdf/CREC-2011-06-15-pt1-PgE1105-3.pdf","163.1 KB","https://www.govinfo.gov/content/pkg/CREC-2011-06-15/html/CREC-2011-06-15-pt1-PgE1105-3.htm","10.8 KB","","0 B","","0 B","","0 B"," Massachusetts. Mr. Speaker, a leading conservative policy analyst, Bruce Bartlett, on June 14th published a compelling analysis of the great disparity that exists in military spending in the world as a percentage of gross domestic product. Building on the speech Secretary of Defense Gates gave last week, which Mr. Bartlett correctly describes as ...","","2011-06-15"
"401","Congressional Hearings","CHRG-106shrg62803","CHRG-106shrg62803","Military Construction Appropriations for Fiscal Year 2001","https://www.govinfo.gov/app/details/CHRG-106shrg62803/CHRG-106shrg62803","https://www.govinfo.gov/content/pkg/CHRG-106shrg62803/pdf/CHRG-106shrg62803.pdf","458.1 KB","https://www.govinfo.gov/content/pkg/CHRG-106shrg62803/html/CHRG-106shrg62803.htm","464.5 KB","","0 B","","0 B","","0 B"," SENATE ONE HUNDRED SIXTH CONGRESS SECOND SESSION on H.R. 4425/S. 2521 AN ACT MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION FOR THE DEPARTMENT OF DEFENSE FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2001, AND FOR OTHER PURPOSES Printed for the use of the Committee on Appropriations Available via the World Wide Web: http://www.access.gpo.gov/...","","2000-02-29"
"402","Public Papers of the Presidents of the United States","PPP-2015-book1","PPP-2015-book1-doc-pg527","Joint Statement--United States-Japan Joint Vision Statement","https://www.govinfo.gov/app/details/PPP-2015-book1/PPP-2015-book1-doc-pg527","https://www.govinfo.gov/content/pkg/PPP-2015-book1/pdf/PPP-2015-book1-doc-pg527.pdf","146.0 KB","","0 B","https://www.govinfo.gov/content/pkg/PPP-2015-book1/xml/PPP-2015-book1-doc-pg527.xml","146.0 KB","","0 B","","0 B"," that for seven decades has made enduring contributions to global peace, security, and prosperity. In this year which marks 70 years since the end of World War II, the relationship between our two countries stands as a model of the power of reconciliation: former adversaries who have become steadfast allies and who work together to advance ...","","2015-04-28"
"403","Congressional Serial Set","SERIALSET-08981_00_00-120-2195-0000","","Dennis W. Scott. January 23, 1929. -- Committed to the Committee of the Whole House and ordered to be printed;U.S. Congressional Serial Set No. 8981 - House Reports, Vol. A","https://www.govinfo.gov/app/details/SERIALSET-08981_00_00-120-2195-0000","https://www.govinfo.gov/content/pkg/SERIALSET-08981_00_00-120-2195-0000/pdf/SERIALSET-08981_00_00-120-2195-0000.pdf","1131185","","0 B","","0 B","https://www.govinfo.gov/content/pkg/SERIALSET-08981_00_00-120-2195-0000/thumbnails/SERIALSET-08981_00_00-120-2195-0000-0453.gif","11.1 KB","","0 B","and ordered to be printed Mr. FisHER, from the Committee on Military Affairs, submitted the following REPORT [To accompany H. R. 13737] The Committee on Military Affairs, to whom was referred the bill (H. R. 13737) for the relief of Dennis W. Scott, introduced by Mr. Rubey, having considered the same, report thereon with the recom- mendation that ...","","1929-01-23"
"404","Congressional Record","CREC-2001-07-31","CREC-2001-07-31-pt1-PgS8456-2","STOP TRADING AND AIDING THE BURMESE MILITARY JUNTA","https://www.govinfo.gov/app/details/CREC-2001-07-31/CREC-2001-07-31-pt1-PgS8456-2","https://www.govinfo.gov/content/pkg/CREC-2001-07-31/pdf/CREC-2001-07-31-pt1-PgS8456-2.pdf","214.0 KB","https://www.govinfo.gov/content/pkg/CREC-2001-07-31/html/CREC-2001-07-31-pt1-PgS8456-2.htm","7.9 KB","","0 B","","0 B","","0 B"," in its violation of basic human rights and [[Page S8457]] worker rights and so morally bankrupt that it requires exceptional, coordinated action on the part of all civilized nations. A case in point is the Burmese military junta that has been in power since 1988 and which continues to terrorize this nation of 48 million people to this day. ...","","2001-07-31"
"405","Congressional Bills","BILLS-112hr1540ih","","National Defense Authorization Act for Fiscal Year 2012","https://www.govinfo.gov/app/details/BILLS-112hr1540ih","https://www.govinfo.gov/content/pkg/BILLS-112hr1540ih/pdf/BILLS-112hr1540ih.pdf","384.0 KB","https://www.govinfo.gov/content/pkg/BILLS-112hr1540ih/html/BILLS-112hr1540ih.htm","236.4 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-112hr1540ih/xml/BILLS-112hr1540ih.xml","437.0 KB","","0 B"," construction, to prescribe military personnel strengths for fiscal year 2012, and for other purposes. IN THE HOUSE OF REPRESENTATIVES April 14, 2011 Mr. McKeon (for himself and Mr. Smith of Washington) (both by request): introduced the following bill; which was referred to the Committee on Armed Services A BILL To authorize appropriations ...","","2011-04-14"
"406","Congressional Record","CREC-2001-09-05","CREC-2001-09-05-pt1-PgE1593-2","HONORING WILLIAM RAIMER FOR HIS MILITARY SERVICE","https://www.govinfo.gov/app/details/CREC-2001-09-05/CREC-2001-09-05-pt1-PgE1593-2","https://www.govinfo.gov/content/pkg/CREC-2001-09-05/pdf/CREC-2001-09-05-pt1-PgE1593-2.pdf","150.3 KB","https://www.govinfo.gov/content/pkg/CREC-2001-09-05/html/CREC-2001-09-05-pt1-PgE1593-2.htm","2.6 KB","","0 B","","0 B","","0 B","Mr. McINNIS. Mr. Speaker, following the bombing of Pearl Harbor, many of our citizens dedicated their efforts to the success of our military forces. William Horace Raimer is the embodiment of service, success, and sacrifice and clearly deserves recognition from this body. Bill Raimer was stationed on the USS Flying Fish--an SS-229 Gato Class ...","","2001-09-05"
"407","Bulk Submission","GOVPUB-D101-PURL-LPS14296","","The Revolution in Military Affairs: Prospects and Cautions","https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-LPS14296","https://www.govinfo.gov/content/pkg/GOVPUB-D101-PURL-LPS14296/pdf/GOVPUB-D101-PURL-LPS14296.pdf","148.2 KB","","0 B","","0 B","","0 B","","0 B"," of the author and do not necessarily reflect the official policy or position of the Department of the Army, the Department of Defense, or the U.S. Government. This report is cleared for public release; distribution is unlimited. ******* Comments pertaining to this report are invited and should be forwarded to: Director, Strategic Studies Institute...","","1995-01-01"
"408","Congressional Serial Set","SERIALSET-05264_00_00-013-0202-0000","","Memorial of China and Japan Trading Company (Limited). Mr. Kean presented the following memorial of the China and Japan Trading Company (Limited), of New York City; to accompany S. 4449. January 27, 1908. -- Referred to the Committee on Foreign Relations and ordered to be printed;U.S. Congressional Serial Set No. 5264 - Senate Documents, Vol. 31","https://www.govinfo.gov/app/details/SERIALSET-05264_00_00-013-0202-0000","https://www.govinfo.gov/content/pkg/SERIALSET-05264_00_00-013-0202-0000/pdf/SERIALSET-05264_00_00-013-0202-0000.pdf","2204380","","0 B","","0 B","https://www.govinfo.gov/content/pkg/SERIALSET-05264_00_00-013-0202-0000/thumbnails/SERIALSET-05264_00_00-013-0202-0000-0131.gif","9.8 KB","","0 B"," OF THE CHINA AND JAPAN TRADING COMPANY (LIMITED), OF NEW YORK CITY; TO ACCOMPANY S 4449. JANUARY 27, 1908.—Referred to the Committee on roreign Relations and ordered to be printed. To the Senate and House of Representatives of the United States of America in Congress assembled: Your memorialist respectfully represents as follows: That the ...","","1908-01-27"
"409","Congressional Bills","BILLS-115hr5515ih","","National Defense Authorization Act for Fiscal Year 2019","https://www.govinfo.gov/app/details/BILLS-115hr5515ih","https://www.govinfo.gov/content/pkg/BILLS-115hr5515ih/pdf/BILLS-115hr5515ih.pdf","330.6 KB","https://www.govinfo.gov/content/pkg/BILLS-115hr5515ih/html/BILLS-115hr5515ih.htm","96.6 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-115hr5515ih/xml/BILLS-115hr5515ih.xml","184.1 KB","","0 B"," and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes. IN THE HOUSE OF REPRESENTATIVES April 13, 2018 Mr. Thornberry (for himself and Mr. Smith of Washington) (both by request) introduced the following bill; which was referred to the Committee on Armed Services A BILL To authorize ...","","2018-04-13"
"410","Congressional Record","CREC-1997-06-10","CREC-1997-06-10-pt1-PgE1157-3","THE CASE FOR A MUCH SMALLER MILITARY","https://www.govinfo.gov/app/details/CREC-1997-06-10/CREC-1997-06-10-pt1-PgE1157-3","https://www.govinfo.gov/content/pkg/CREC-1997-06-10/pdf/CREC-1997-06-10-pt1-PgE1157-3.pdf","138.8 KB","https://www.govinfo.gov/content/pkg/CREC-1997-06-10/html/CREC-1997-06-10-pt1-PgE1157-3.htm","7.3 KB","","0 B","","0 B","","0 B",". Mr. Speaker, in the June 23d issue of Fortune magazine, Doug Bandow of the Cato Institute has a concise coherent and persuasive statement of the case for a substantial reduction in U.S. military spending. At a time when we are facing drastic measures in various places to meet the widely shared goal of a balanced budget, we can afford ...","","1997-06-10"
"411","Congressional Record","CREC-2003-07-18","CREC-2003-07-18-pt1-PgE1537","THE MILITARY FAMILIES FINANCIAL SECURITY ACT","https://www.govinfo.gov/app/details/CREC-2003-07-18/CREC-2003-07-18-pt1-PgE1537","https://www.govinfo.gov/content/pkg/CREC-2003-07-18/pdf/CREC-2003-07-18-pt1-PgE1537.pdf","123.6 KB","https://www.govinfo.gov/content/pkg/CREC-2003-07-18/html/CREC-2003-07-18-pt1-PgE1537.htm","3.8 KB","","0 B","","0 B","","0 B"," of California. Mr. Speaker, I rise today to introduce the Military Families Financial Security Act. This bill will ensure that the brave men and women who serve our country will not have to worry about losing the critical services their children need. The men and women who serve in our Armed Forces are everyday heroes. I know about the valor of ...","","2003-07-18"
"412","Congressional Record","CREC-2021-03-11","CREC-2021-03-11-pt1-PgS1505-2","SENATE RESOLUTION 107--EXPRESSING THE SENSE OF THE SENATE RELATING TO THE 10TH ANNIVERSARY OF THE MARCH 11, 2011, EARTHQUAKE AND TSUNAMI IN JAPAN","https://www.govinfo.gov/app/details/CREC-2021-03-11/CREC-2021-03-11-pt1-PgS1505-2","https://www.govinfo.gov/content/pkg/CREC-2021-03-11/pdf/CREC-2021-03-11-pt1-PgS1505-2.pdf","239.1 KB","https://www.govinfo.gov/content/pkg/CREC-2021-03-11/html/CREC-2021-03-11-pt1-PgS1505-2.htm","5.1 KB","","0 B","","0 B","","0 B"," HAGERTY (for himself and Mr. Coons) submitted the following resolution; which was referred to the Committee on Foreign Relations: S. Res. 107 Whereas, at 2:46 p.m. on March 11, 2011, an earthquake initially reported as measuring 8.9 on the Richter scale, the strongest recorded in more than 100 years in Japan, occurred near the Tohoku region of ...","","2021-03-11"
"413","Congressional Bills","BILLS-118hres1412ih","","Condemning the People’s Republic of China Coast Guard’s repeated violations of international maritime law and aggression toward the Philippines, Taiwan, Japan, and Malaysia.","https://www.govinfo.gov/app/details/BILLS-118hres1412ih","https://www.govinfo.gov/content/pkg/BILLS-118hres1412ih/pdf/BILLS-118hres1412ih.pdf","252.2 KB","https://www.govinfo.gov/content/pkg/BILLS-118hres1412ih/html/BILLS-118hres1412ih.htm","4.2 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-118hres1412ih/xml/BILLS-118hres1412ih.xml","6.3 KB","","0 B"," law and aggression toward the Philippines, Taiwan, Japan, and Malaysia. IN THE HOUSE OF REPRESENTATIVES August 6, 2024 Mrs. Steel (for herself and Mr. Horsford) submitted the following resolution; which was referred to the Committee on Foreign Affairs RESOLUTION Condemning the People's Republic of China Coast Guard's repeated violations of ...","","2024-08-06"
"414","Compilation of Presidential Documents","DCPD-201700112","","Joint Statement by President Trump and Prime Minister Shinzo Abe of Japan","https://www.govinfo.gov/app/details/DCPD-201700112","https://www.govinfo.gov/content/pkg/DCPD-201700112/pdf/DCPD-201700112.pdf","24.0 KB","https://www.govinfo.gov/content/pkg/DCPD-201700112/html/DCPD-201700112.htm","8.5 KB","","0 B","","0 B","","0 B","J. Trump and Prime Minister Shinzo Abe held their first official meeting today in Washington D.C. and affirmed their strong determination to further strengthen the U.S.-Japan Alliance and economic relationship. U.S.-Japan Alliance The unshakable U.S.-Japan Alliance is the cornerstone of peace, prosperity, and freedom in the Asia-Pacific region. The...","","2017-02-10"
"415","Congressional Bills","BILLS-113hr3304enr","","National Defense Authorization Act for Fiscal Year 2014","https://www.govinfo.gov/app/details/BILLS-113hr3304enr","https://www.govinfo.gov/content/pkg/BILLS-113hr3304enr/pdf/BILLS-113hr3304enr.pdf","1.1 MB","https://www.govinfo.gov/content/pkg/BILLS-113hr3304enr/html/BILLS-113hr3304enr.htm","1.7 MB","https://www.govinfo.gov/content/pkg/BILLS-113hr3304enr/uslm/BILLS-113hr3304enr.xml","5.5 MB","https://www.govinfo.gov/content/pkg/BILLS-113hr3304enr/xml/BILLS-113hr3304enr.xml","3.7 MB","","0 B"," third day of January, two thousand and thirteen An Act To authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. Be it enacted by ...","","2013-12-24"
"416","Congressional Hearings","CHRG-105shrg39863","CHRG-105shrg39863","Military Construction Appropriations for Fiscal Year 1998","https://www.govinfo.gov/app/details/CHRG-105shrg39863/CHRG-105shrg39863","https://www.govinfo.gov/content/pkg/CHRG-105shrg39863/pdf/CHRG-105shrg39863.pdf","760.7 KB","https://www.govinfo.gov/content/pkg/CHRG-105shrg39863/html/CHRG-105shrg39863.htm","466.7 KB","","0 B","","0 B","","0 B"," SENATE ONE HUNDRED FIFTH CONGRESS FIRST SESSION on H.R. 2016 AN ACT MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION FOR THE DEPARTMENT OF DEFENSE FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 1998, AND FOR OTHER PURPOSES Printed for the use of the Committee on Appropriations Available via the World Wide Web: http://www.access.gpo.gov/congress/ ...","","1997-03-11"
"417","Congressional Hearings","CHRG-108shrg85938","CHRG-108shrg85938","Military Construction Appropriations for Fiscal Year 2004","https://www.govinfo.gov/app/details/CHRG-108shrg85938/CHRG-108shrg85938","https://www.govinfo.gov/content/pkg/CHRG-108shrg85938/pdf/CHRG-108shrg85938.pdf","782.6 KB","https://www.govinfo.gov/content/pkg/CHRG-108shrg85938/html/CHRG-108shrg85938.htm","991.3 KB","","0 B","","0 B","","0 B"," SENATE ONE HUNDRED EIGHTH CONGRESS FIRST SESSION on H.R. 2559/S. 1357 AN ACT MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION FOR THE DEPARTMENT OF DEFENSE FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2004, AND FOR OTHER PURPOSES Printed for the use of the Committee on Appropriations Available via the World Wide Web: http://www.access.gpo.gov/...","","2003-03-04"
"418","Bulk Submission","GOVPUB-D101-PURL-gpo129782","","Engagement Between Peace and War: How Military Institutions Adapt, How Soldiers and Military Institutions Adapt","https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-gpo129782","https://www.govinfo.gov/content/pkg/GOVPUB-D101-PURL-gpo129782/pdf/GOVPUB-D101-PURL-gpo129782.pdf","2.1 MB","","0 B","","0 B","","0 B","","0 B"," G. Braun III, Stéfanie von Hlatky, and Kim Richard Nossal The Kingston Conference on International Security Series Centre for International and Defence Policy, Queen’s University Kingston, Ontario Strategic Studies Institute, U.S. Army War College Carlisle, Pennsylvania Library and Archives Canada Cataloguing in Publication Kingston Conference on ...","","2017-01-01"
"419","Congressional Bills","BILLS-106s2551pcs","","Military Construction Authorization Act for Fiscal Year 2001","https://www.govinfo.gov/app/details/BILLS-106s2551pcs","https://www.govinfo.gov/content/pkg/BILLS-106s2551pcs/pdf/BILLS-106s2551pcs.pdf","277.6 KB","https://www.govinfo.gov/content/pkg/BILLS-106s2551pcs/html/BILLS-106s2551pcs.htm","127.1 KB","","0 B","","0 B","","0 B",". IN THE SENATE OF THE UNITED STATES May 12, 2000 Mr. Warner, from the Committee on Armed Services, reported, under authority of the order of the Senate of May 11th, 2000, the following original bill; which was read twice and placed on the calendar A BILL To authorize appropriations for fiscal year 2001 for military construction, and for other ...","","2000-05-12"
"420","Congressional Record","CREC-2008-12-09","CREC-2008-12-09-pt1-PgE2347-2","HONORING THE MILITARY SERVICE OF FRED STERN","https://www.govinfo.gov/app/details/CREC-2008-12-09/CREC-2008-12-09-pt1-PgE2347-2","https://www.govinfo.gov/content/pkg/CREC-2008-12-09/pdf/CREC-2008-12-09-pt1-PgE2347-2.pdf","153.2 KB","https://www.govinfo.gov/content/pkg/CREC-2008-12-09/html/CREC-2008-12-09-pt1-PgE2347-2.htm","2.4 KB","","0 B","","0 B","","0 B",", 2008 Ms. HERSETH SANDLIN. Madam Speaker, I would like to recognize the heroic and distinguished actions of Fred Stern of Aberdeen, South Dakota, who will be honored with several long-overdue medals, including the Bronze Star Medal, for his service during World War II. Fred was born near Webster, South Dakota, on October 21, 1908. He was inducted ...","","2008-12-09"
"421","Congressional Bills","BILLS-108hconres418rfs","","Recognizing the importance in history of the 150th anniversary of the establishment of diplomatic relations between the United States and Japan","https://www.govinfo.gov/app/details/BILLS-108hconres418rfs","https://www.govinfo.gov/content/pkg/BILLS-108hconres418rfs/pdf/BILLS-108hconres418rfs.pdf","106.5 KB","https://www.govinfo.gov/content/pkg/BILLS-108hconres418rfs/html/BILLS-108hconres418rfs.htm","5.3 KB","","0 B","","0 B","","0 B"," RESOLUTION Recognizing the importance in history of the 150th anniversary of the establishment of diplomatic relations between the United States and Japan Whereas over the past 150 years, the United States and Japan have developed a strong, multifaceted relationship based on shared democratic values and mutual interest in Asian and global ...","","2004-09-07"
"422","Congressional Bills","BILLS-113hr1960ih","","National Defense Authorization Act for Fiscal Year 2014","https://www.govinfo.gov/app/details/BILLS-113hr1960ih","https://www.govinfo.gov/content/pkg/BILLS-113hr1960ih/pdf/BILLS-113hr1960ih.pdf","541.6 KB","https://www.govinfo.gov/content/pkg/BILLS-113hr1960ih/html/BILLS-113hr1960ih.htm","275.4 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-113hr1960ih/xml/BILLS-113hr1960ih.xml","477.0 KB","","0 B"," construction, to prescribe military personnel strengths for such fiscal year, and for other purposes. IN THE HOUSE OF REPRESENTATIVES May 14, 2013 Mr. McKeon (for himself and Mr. Smith of Washington) (both by request): introduced the following bill; which was referred to the Committee on Armed Services A BILL To authorize appropriations for...","","2013-05-14"
"423","Compilation of Presidential Documents","DCPD-201200166","","Statement on First Anniversary of the March 11 Disaster in Japan","https://www.govinfo.gov/app/details/DCPD-201200166","https://www.govinfo.gov/content/pkg/DCPD-201200166/pdf/DCPD-201200166.pdf","122.2 KB","https://www.govinfo.gov/content/pkg/DCPD-201200166/html/DCPD-201200166.htm","3.6 KB","","0 B","","0 B","","0 B"," earthquake, tsunami, and nuclear disasters in Japan, Michelle and I join all Americans in honoring the memory of the 19,000 victims lost or missing. We continue to be inspired by the Japanese people, who faced unimaginable loss with extraordinary fortitude. Their resilience and determination to rebuild stronger than before is an example for...","","2012-03-09"
"424","Compilation of Presidential Documents","DCPD-201900336","","Remarks in an Exchange With Reporters Prior to Departure for Tokyo, Japan","https://www.govinfo.gov/app/details/DCPD-201900336","https://www.govinfo.gov/content/pkg/DCPD-201900336/pdf/DCPD-201900336.pdf","65.9 KB","https://www.govinfo.gov/content/pkg/DCPD-201900336/html/DCPD-201900336.htm","21.7 KB","","0 B","","0 B","","0 B"," of Intelligence Activities Relating to 2016 Presidential Election Q. Mr. President, are you ordering&mdash;[ inaudible ]&mdash;investigation into James Comey and McCabe? The President. So we want to be very transparent. So, as you know, I declassified everything. Everything they want. I put it under the auspices of the Attorney General. He's ...","","2019-05-24"
"425","Congressional Record","CREC-2011-03-14","CREC-2011-03-14-pt1-PgS1607","SENATE RESOLUTION 101--EXPRESSING THE SENSE OF THE SENATE RELATING TO THE MARCH 11, 2011, EARTHQUAKE AND TSUNAMI IN JAPAN","https://www.govinfo.gov/app/details/CREC-2011-03-14/CREC-2011-03-14-pt1-PgS1607","https://www.govinfo.gov/content/pkg/CREC-2011-03-14/pdf/CREC-2011-03-14-pt1-PgS1607.pdf","157.3 KB","https://www.govinfo.gov/content/pkg/CREC-2011-03-14/html/CREC-2011-03-14-pt1-PgS1607.htm","6.7 KB","","0 B","","0 B","","0 B"," Mr. REID of Nevada (for himself, Mr. McConnell, Mr. Kerry, Mr. Lugar, Mr. Akaka, Mr. Alexander, Ms. Ayotte, Mr. Barrasso, Mr. Baucus, Mr. Begich, Mr. Bennet, Mr. Bingaman, Mr. Blumenthal, Mr. Blunt, Mr. Boozman, Mrs. Boxer, Mr. Brown of Massachusetts, Mr. Brown of Ohio, Mr. Burr, Ms. Cantwell, Mr. Cardin, Mr. Carper, Mr. Casey, Mr. Chambliss, Mr....","","2011-03-14"
